meter_id,customer_id,region,date,consumption_kwh,cost
1026,107,West,2023-05-03,36.37,181.85
1030,199,South,2023-07-04,9.85,49.25
1067,83,West,2023-07-16,30.0,150.0
1061,123,West,2023-07-27,7.91,39.55
1010,86,South,2023-08-14,12.11,60.55
1001,87,South,2023-05-15,30.14,150.7
1017,89,South,2023-10-27,41.1,205.5
1071,87,West,2023-09-21,29.15,145.75
1018,142,South,2023-03-23,48.23,241.15
1006,196,South,2023-05-23,47.72,238.6
1076,24,North,2023-12-29,28.12,140.6
1019,164,West,2023-08-17,38.15,190.75
1077,61,North,2023-07-24,6.82,34.1
1087,145,South,2023-06-06,8.8,44.0
1089,152,West,2023-07-30,35.39,176.95
1071,151,North,2023-01-22,25.49,127.45
1060,7,South,2023-08-29,17.06,85.3
1051,52,South,2023-02-06,36.09,180.45
1042,172,East,2023-03-06,32.5,162.5
1086,62,East,2023-10-03,24.93,124.65
1007,173,North,2023-02-10,45.11,225.55
1068,67,West,2023-03-29,34.69,173.45
1034,60,North,2023-12-28,44.96,224.8
1016,15,South,2023-07-13,32.94,164.7
1036,21,South,2023-06-08,20.76,103.8
1045,200,South,2023-03-18,21.7,108.5
1019,124,South,2023-10-24,22.12,110.6
1003,140,West,2023-05-31,12.13,60.65
1031,148,East,2023-04-18,34.86,174.3
1043,52,North,2023-01-30,17.84,89.2
1085,106,South,2023-06-30,32.35,161.75
1084,146,North,2023-03-13,34.47,172.35
1013,161,East,2023-08-24,40.33,201.65
1065,80,East,2023-04-13,40.41,202.05
1003,79,South,2023-08-06,8.71,43.55
1023,179,West,2023-04-23,47.17,235.85
1098,185,North,2023-02-06,25.49,127.45
1076,12,West,2023-11-11,16.35,81.75
1010,14,North,2023-02-22,41.66,208.3
1075,57,South,2023-12-27,29.97,149.85
1016,76,North,2023-08-25,13.56,67.8
1092,128,West,2023-05-26,49.67,248.35
1094,178,West,2023-10-09,23.18,115.9
1016,178,North,2023-05-19,34.61,173.05
1094,30,West,2023-04-06,44.62,223.1
1046,164,South,2023-05-14,31.54,157.7
1014,137,East,2023-05-26,23.78,118.9
1014,194,North,2023-09-14,32.52,162.6
1026,165,South,2023-06-05,43.44,217.2
1045,172,West,2023-09-19,31.34,156.7
1073,82,West,2023-12-19,25.36,126.8
1096,189,North,2023-05-23,22.46,112.3
1093,109,West,2023-09-27,39.37,196.85
1074,18,West,2023-09-08,37.52,187.6
1054,60,South,2023-01-26,28.76,143.8
1005,41,North,2023-11-10,45.69,228.45
1008,146,East,2023-01-05,19.99,99.95
1079,67,South,2023-01-15,10.9,54.5
1085,134,West,2023-07-16,11.36,56.8
1082,27,East,2023-08-18,46.57,232.85
1009,80,South,2023-11-22,18.5,92.5
